file,author,source,derived,parental_file,modified_by_author,license
CEPLAS.png,QR_code_from_CEPLAS_source_URL_mit_adobe_qr-code-generator,https://ceplas.eu,False,NA,NA,
DataPLANT.png,QR_code_from_DataPLANT_source_URL_mit_adobe_qr-code-generator,https://nfdi4plants.org/,False,NA,NA,
Knowledgebase.png, QR_code_from_DataPLANT_KnowledgeBase_source_URL_mit_adobe_qr-code-generator, https://nfdi4plants.org/nfdi4plants.knowledgebase/index.html,False,NA,NA,
teaching-materials-concept.png, QR_code_from_DataPLANT_teaching-materials-concept_source_URL_mit_adobe_qr-code-generator,https://github.com/nfdi4plants/teaching-materials-concept,False,NA,NA,
modular_concept_Git.drawio.png,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Screenshot_DidacticPath.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",https://github.com/nfdi4plants/teaching-materials-concept/units/Git_concept_basic/DidacticPath.md,False,NA,NA,CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Screenshot_modular_concept_Git.png,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept_Bricks.drawio.png,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept_Bricks.svg,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept_DidacticPath.drawio.png,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept_DidacticPath.svg,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept_Disseminations.drawio.png,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept_Disseminations.svg,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept_Units.drawio.png,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept_Units.svg,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept.drawio.png,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
Three_Levelled_Concept.svg,"Dominik Brilhaus, https://orcid.org/0000-0001-9021-3197",https://github.com/nfdi4plants/teaching-materials-concept/,True,teaching_modular.drawio.png,"Andrea Schrader, https://orcid.org/0000-0002-3879-7057",CC-BY 4.0 https://creativecommons.org/licenses/by/4.0/
